index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
76,Gwinnett,GOODWINS C,5804,522,1368,884,1,2775,168,417,287,0,872,3647,
77,Gwinnett,BAYCREEK K,3824,219,1220,643,1,2083,90,376,204,0,670,2753,
78,Gwinnett,CATES K,2810,282,784,492,2,1560,117,250,117,0,484,2044,
79,Gwinnett,BAYCREEK C,6499,494,2067,940,2,3503,172,666,276,1,1115,4618,
80,Gwinnett,CATES L,4185,351,1165,628,2,2146,130,352,221,1,704,2850,
81,Gwinnett,DULUTH E,4814,472,1262,751,8,2493,140,373,189,2,704,3197,
82,Gwinnett,GOODWINS D,4406,527,1031,629,3,2190,187,324,209,2,722,2912,
83,Gwinnett,LAWRENCEVILLE G,3046,263,782,402,1,1448,91,248,130,0,469,1917,
84,Gwinnett,LAWRENCEVILLE H,4296,402,1189,696,2,2289,115,374,198,3,690,2979,
85,Gwinnett,MARTINS F,2570,295,470,335,4,1104,72,148,84,2,306,1410,
86,Gwinnett,PINCKNEYVILLE S,3374,401,698,511,5,1615,114,210,134,2,460,2075,
87,Gwinnett,ROCKBRIDGE E,4638,424,1154,646,3,2227,104,324,210,1,639,2866,
88,Gwinnett,SUGAR HILL E,3589,346,1031,507,3,1887,126,358,167,4,655,2542,
89,Gwinnett,LAWRENCEVILLE I,3312,347,786,461,0,1594,124,222,141,2,489,2083,
90,Gwinnett,BAYCREEK D,4609,353,1374,716,1,2444,142,489,207,0,838,3282,
91,Gwinnett,BERKSHIRE J,2731,193,832,557,1,1583,78,283,149,3,513,2096,
92,Gwinnett,CATES M,3988,326,1258,752,3,2339,105,382,234,0,721,3060,
93,Gwinnett,CATES N,2567,270,688,442,1,1401,89,247,181,0,517,1918,
94,Gwinnett,DULUTH F,6161,507,1376,867,14,2764,143,373,265,4,785,3549,
95,Gwinnett,DULUTH G,3067,323,723,564,3,1613,112,258,182,0,552,2165,
96,Gwinnett,GOODWINS E,5491,540,1404,912,1,2857,183,434,240,1,858,3715,
97,Gwinnett,GOODWINS F,3212,283,772,564,0,1619,83,264,143,0,490,2109,
98,Gwinnett,PINCKNEYVILLE T,3201,334,698,493,5,1530,97,189,154,0,440,1970,
99,Gwinnett,SUWANEE B,4656,268,1534,759,0,2561,105,503,246,0,854,3415,
100,Gwinnett,PINCKNEYVILLE U,2090,322,466,334,2,1124,92,140,82,3,317,1441,
101,Gwinnett,PUCKETTS B,3096,293,912,377,1,1583,101,400,135,0,636,2219,
102,Gwinnett,BERKSHIRE L,3265,354,707,440,2,1503,124,217,123,0,464,1967,
103,Gwinnett,ROCKBRIDGE F,5795,295,1929,787,3,3014,87,595,258,1,941,3955,
104,Gwinnett,SUGAR HILL F,4112,442,1098,615,7,2162,156,349,185,1,691,2853,
105,Gwinnett,SUWANEE C,5675,398,1502,1047,5,2952,146,469,257,2,874,3826,
106,Gwinnett,CATES O,1434,186,346,273,4,809,71,133,64,0,268,1077,
107,Gwinnett,BAYCREEK E,3265,284,875,454,5,1618,112,282,134,0,528,2146,
108,Gwinnett,BERKSHIRE M,1864,197,510,352,2,1061,74,139,86,1,300,1361,
109,Gwinnett,MARTINS G,2425,281,540,294,2,1117,106,156,79,0,341,1458,
110,Gwinnett,DULUTH H,2813,244,681,564,2,1491,66,204,179,1,450,1941,
111,Gwinnett,BERKSHIRE N,3128,156,1007,673,0,1836,43,335,182,1,561,2397,
112,Gwinnett,PINCKNEYVILLE V,1706,153,402,232,1,788,60,108,66,1,235,1023,
113,Gwinnett,PINCKNEYVILLE W,4253,406,1016,724,4,2150,104,244,203,1,552,2702,
114,Gwinnett,MARTINS H,5037,460,1159,737,9,2365,149,364,247,2,762,3127,
115,Gwinnett,MARTINS I,4078,391,855,530,5,1781,127,251,171,1,550,2331,
116,Gwinnett,MARTINS J,3923,473,901,459,8,1841,146,242,142,2,532,2373,
117,Gwinnett,GARNERS F,1796,160,502,304,2,968,51,176,82,1,310,1278,
118,Gwinnett,BERKSHIRE O,2589,225,709,498,2,1434,82,214,147,1,444,1878,
119,Gwinnett,BERKSHIRE P,1476,165,283,196,2,646,56,104,63,0,223,869,
120,Gwinnett,PINCKNEYVILLE X,3412,309,866,769,11,1955,97,294,185,5,581,2536,
121,Gwinnett,ROCKBRIDGE G,5799,403,1712,812,10,2937,119,511,281,5,916,3853,
122,Gwinnett,PINCKNEYVILLE Y,3272,352,639,304,2,1297,99,173,99,1,372,1669,
123,Gwinnett,GOODWINS G,2661,296,627,339,3,1265,96,206,86,1,389,1654,
124,Gwinnett,PINCKNEYVILLE Z,1898,271,408,479,0,1158,103,141,122,0,366,1524,
125,Gwinnett,PINCKNEYVILLE A1,2694,299,696,696,0,1691,94,217,176,0,487,2178,
126,Gwinnett,LAWRENCEVILLE J,2249,243,582,284,3,1112,89,173,88,0,350,1462,
127,Gwinnett,GOODWINS H,2796,263,767,426,2,1458,107,228,126,0,461,1919,
128,Gwinnett,DUNCANS B,5387,570,1656,702,3,2931,194,663,232,3,1092,4023,
129,Gwinnett,SUWANEE D,4732,436,1439,823,2,2700,145,500,261,1,907,3607,
130,Gwinnett,SUWANEE E,4256,357,1317,751,2,2427,120,461,205,0,786,3213,
131,Gwinnett,LAWRENCEVILLE K,3282,314,875,591,0,1780,115,309,153,0,577,2357,
132,Gwinnett,HARBINS B,4845,380,1492,483,4,2359,148,572,235,0,955,3314,
133,Gwinnett,BAYCREEK F,4608,386,1402,641,7,2436,119,444,201,3,767,3203,
134,Gwinnett,PUCKETTS C,3367,283,978,427,1,1689,96,382,110,0,588,2277,
135,Gwinnett,HOG MOUNTAIN C,4292,360,1159,593,3,2115,165,427,191,0,783,2898,
136,Gwinnett,ROCKYCREEK B,5061,429,1585,617,3,2634,158,559,233,0,950,3584,
137,Gwinnett,DULUTH I,5105,347,1220,1102,0,2669,119,424,364,0,907,3576,
138,Gwinnett,MARTINS K,5352,509,1328,769,2,2608,165,388,233,2,788,3396,
139,Gwinnett,SUWANEE H,3785,327,1190,675,1,2193,108,454,197,0,759,2952,
140,Gwinnett,SUGAR HILL G,2814,255,820,437,0,1512,100,318,177,1,596,2108,
141,Gwinnett,SUWANEE F,3966,361,1118,654,3,2136,98,362,181,1,642,2778,
142,Gwinnett,LAWRENCEVILLE L,4802,390,1348,770,1,2509,100,464,234,1,799,3308,
143,Gwinnett,LAWRENCEVILLE M,7255,585,1971,967,6,3529,169,573,294,1,1037,4566,
144,Gwinnett,BAYCREEK G,6241,428,2001,865,1,3295,145,642,269,0,1056,4351,
145,Gwinnett,BAYCREEK H,6811,496,2236,1030,4,3766,180,779,360,1,1320,5086,
146,Gwinnett,BAYCREEK I,5899,410,1685,825,8,2928,142,565,268,1,976,3904,
147,Gwinnett,BERKSHIRE Q,1802,208,416,315,0,939,50,156,75,1,282,1221,
148,Gwinnett,GOODWINS I,2501,304,661,448,0,1413,90,170,152,0,412,1825,
149,Gwinnett,DULUTH K,2786,233,555,298,1,1087,63,147,77,1,288,1375,
150,Gwinnett,HARBINS C,2850,371,867,332,3,1573,162,320,99,0,581,2154,
151,Gwinnett,ROCKYCREEK C,4806,403,1563,679,3,2648,142,528,176,1,847,3495,
152,Gwinnett,LAWRENCEVILLE N,2573,275,567,327,5,1174,99,173,86,1,359,1533,
153,Gwinnett,PUCKETTS D,3622,280,1084,521,4,1889,104,411,170,1,686,2575,
154,Gwinnett,SUWANEE G,3904,372,1135,620,0,2127,132,373,171,0,676,2803,
155,Gwinnett,BAYCREEK J,4567,375,1336,640,3,2354,118,423,205,1,747,3101,
